key	seed	level	GND	AAD	true_ani	complete	missing_percent	s
AG-359-G18_a22_gnd00000	AG-359-G18	AG-359-G18_a22_gnd00000	0.000000000	0.000269088	100.000000	1		
AG-359-G18_a22_gnd00005	AG-359-G18	AG-359-G18_a22_gnd00005	0.000152992	0.000654372	99.984701	1		
AG-359-G18_a22_gnd00010	AG-359-G18	AG-359-G18_a22_gnd00010	0.000295332	0.000960154	99.970467	1		
AG-359-G18_a22_gnd00020	AG-359-G18	AG-359-G18_a22_gnd00020	0.001791360	0.004764074	99.820864	1		
AG-359-G18_a22_gnd00030	AG-359-G18	AG-359-G18_a22_gnd00030	0.002702533	0.007026857	99.729747	1		
AG-359-G18_a22_gnd00040	AG-359-G18	AG-359-G18_a22_gnd00040	0.003620483	0.009301870	99.637952	1		
AG-359-G18_a22_gnd00050	AG-359-G18	AG-359-G18_a22_gnd00050	0.004463875	0.011378126	99.553612	1		
AG-359-G18_a22_gnd00060	AG-359-G18	AG-359-G18_a22_gnd00060	0.005364396	0.013426862	99.463560	1		
AG-359-G18_a22_gnd00070	AG-359-G18	AG-359-G18_a22_gnd00070	0.006255235	0.015579563	99.374477	1		
AG-359-G18_a22_gnd00080	AG-359-G18	AG-359-G18_a22_gnd00080	0.007196425	0.018053334	99.280357	1		
AG-359-G18_a22_gnd00090	AG-359-G18	AG-359-G18_a22_gnd00090	0.008045626	0.019958353	99.195437	1		
AG-359-G18_a22_gnd001	AG-359-G18	AG-359-G18_a22_gnd001	0.008981007	0.022474934	99.101899	1		
AG-359-G18_a22_gnd002	AG-359-G18	AG-359-G18_a22_gnd002	0.017867120	0.043830707	98.213288	1		
AG-359-G18_a22_gnd003	AG-359-G18	AG-359-G18_a22_gnd003	0.026866524	0.065376065	97.313348	1		
AG-359-G18_a22_gnd004	AG-359-G18	AG-359-G18_a22_gnd004	0.035846563	0.086496387	96.415344	1		
AG-359-G18_a22_gnd005	AG-359-G18	AG-359-G18_a22_gnd005	0.044881794	0.107038782	95.511821	1		
AG-359-G18_a22_gnd006	AG-359-G18	AG-359-G18_a22_gnd006	0.053810513	0.127654565	94.618949	1		
AG-359-G18_a22_gnd007	AG-359-G18	AG-359-G18_a22_gnd007	0.062785710	0.147138956	93.721429	1		
AG-359-G18_a22_gnd008	AG-359-G18	AG-359-G18_a22_gnd008	0.071649552	0.167085078	92.835045	1		
AG-359-G18_a22_gnd009	AG-359-G18	AG-359-G18_a22_gnd009	0.080618939	0.186413520	91.938106	1		
AG-359-G18_a22_gnd010	AG-359-G18	AG-359-G18_a22_gnd010	0.089782955	0.206020224	91.021705	1		
AG-359-G18_a22_gnd011	AG-359-G18	AG-359-G18_a22_gnd011	0.098671005	0.224247854	90.132900	1		
AG-359-G18_a22_gnd012	AG-359-G18	AG-359-G18_a22_gnd012	0.107607469	0.242606970	89.239253	1		
AG-359-G18_a22_gnd013	AG-359-G18	AG-359-G18_a22_gnd013	0.116709514	0.261008895	88.329049	1		
AG-359-G18_a22_gnd014	AG-359-G18	AG-359-G18_a22_gnd014	0.125576261	0.279264045	87.442374	1		
AG-359-G18_a22_gnd015	AG-359-G18	AG-359-G18_a22_gnd015	0.134521441	0.296140121	86.547856	1		
AG-359-G18_a22_gnd016	AG-359-G18	AG-359-G18_a22_gnd016	0.143488891	0.313747015	85.651111	1		
AG-359-G18_a22_gnd017	AG-359-G18	AG-359-G18_a22_gnd017	0.152700354	0.330785155	84.729965	1		
AG-359-G18_a22_gnd018	AG-359-G18	AG-359-G18_a22_gnd018	0.161635850	0.346869257	83.836415	1		
AG-359-G18_a22_gnd019	AG-359-G18	AG-359-G18_a22_gnd019	0.170527773	0.362687329	82.947223	1		
AG-359-G18_a22_gnd020	AG-359-G18	AG-359-G18_a22_gnd020	0.179628850	0.378847877	82.037115	1		
AG-359-G18_a5_gnd00000	AG-359-G18	AG-359-G18_a5_gnd00000	0.000000000	0.000269088	100.000000	1		
AG-359-G18_a5_gnd00000_p13_s2	AG-359-G18	AG-359-G18_a5_gnd00000	0.000000	0.000269088	100.000000	0	13	2
AG-359-G18_a5_gnd00000_p13_s4	AG-359-G18	AG-359-G18_a5_gnd00000	0.000000	0.000269088	100.000000	0	13	4
AG-359-G18_a5_gnd00000_p13_s5	AG-359-G18	AG-359-G18_a5_gnd00000	0.000000	0.000269088	100.000000	0	13	5
AG-359-G18_a5_gnd00000_p19_s3	AG-359-G18	AG-359-G18_a5_gnd00000	0.000000	0.000269088	100.000000	0	19	3
AG-359-G18_a5_gnd00000_p20_s1	AG-359-G18	AG-359-G18_a5_gnd00000	0.000000	0.000269088	100.000000	0	20	1
AG-359-G18_a5_gnd00005	AG-359-G18	AG-359-G18_a5_gnd00005	0.000153960	0.000669661	99.984604	1		
AG-359-G18_a5_gnd00005_p10_s2	AG-359-G18	AG-359-G18_a5_gnd00005	0.000154	0.000669661	99.984604	0	10	2
AG-359-G18_a5_gnd00005_p11_s4	AG-359-G18	AG-359-G18_a5_gnd00005	0.000154	0.000669661	99.984604	0	11	4
AG-359-G18_a5_gnd00005_p14_s1	AG-359-G18	AG-359-G18_a5_gnd00005	0.000154	0.000669661	99.984604	0	14	1
AG-359-G18_a5_gnd00005_p16_s3	AG-359-G18	AG-359-G18_a5_gnd00005	0.000154	0.000669661	99.984604	0	16	3
AG-359-G18_a5_gnd00005_p20_s5	AG-359-G18	AG-359-G18_a5_gnd00005	0.000154	0.000669661	99.984604	0	20	5
AG-359-G18_a5_gnd00010	AG-359-G18	AG-359-G18_a5_gnd00010	0.000292427	0.000978501	99.970757	1		
AG-359-G18_a5_gnd00010_p14_s4	AG-359-G18	AG-359-G18_a5_gnd00010	0.000292	0.000978501	99.970757	0	14	4
AG-359-G18_a5_gnd00010_p20_s2	AG-359-G18	AG-359-G18_a5_gnd00010	0.000292	0.000978501	99.970757	0	20	2
AG-359-G18_a5_gnd00010_p6_s3	AG-359-G18	AG-359-G18_a5_gnd00010	0.000292	0.000978501	99.970757	0	6	3
AG-359-G18_a5_gnd00010_p8_s1	AG-359-G18	AG-359-G18_a5_gnd00010	0.000292	0.000978501	99.970757	0	8	1
AG-359-G18_a5_gnd00010_p8_s5	AG-359-G18	AG-359-G18_a5_gnd00010	0.000292	0.000978501	99.970757	0	8	5
AG-359-G18_a5_gnd00020	AG-359-G18	AG-359-G18_a5_gnd00020	0.000590665	0.001694029	99.940934	1		
AG-359-G18_a5_gnd00020_p0_s3	AG-359-G18	AG-359-G18_a5_gnd00020	0.000591	0.001694029	99.940934	0	0	3
AG-359-G18_a5_gnd00020_p10_s4	AG-359-G18	AG-359-G18_a5_gnd00020	0.000591	0.001694029	99.940934	0	10	4
AG-359-G18_a5_gnd00020_p11_s1	AG-359-G18	AG-359-G18_a5_gnd00020	0.000591	0.001694029	99.940934	0	11	1
AG-359-G18_a5_gnd00020_p20_s5	AG-359-G18	AG-359-G18_a5_gnd00020	0.000591	0.001694029	99.940934	0	20	5
AG-359-G18_a5_gnd00020_p9_s2	AG-359-G18	AG-359-G18_a5_gnd00020	0.000591	0.001694029	99.940934	0	9	2
AG-359-G18_a5_gnd00030	AG-359-G18	AG-359-G18_a5_gnd00030	0.000878250	0.002437078	99.912175	1		
AG-359-G18_a5_gnd00030_p11_s4	AG-359-G18	AG-359-G18_a5_gnd00030	0.000878	0.002437078	99.912175	0	11	4
AG-359-G18_a5_gnd00030_p15_s1	AG-359-G18	AG-359-G18_a5_gnd00030	0.000878	0.002437078	99.912175	0	15	1
AG-359-G18_a5_gnd00030_p19_s3	AG-359-G18	AG-359-G18_a5_gnd00030	0.000878	0.002437078	99.912175	0	19	3
AG-359-G18_a5_gnd00030_p19_s5	AG-359-G18	AG-359-G18_a5_gnd00030	0.000878	0.002437078	99.912175	0	19	5
AG-359-G18_a5_gnd00030_p8_s2	AG-359-G18	AG-359-G18_a5_gnd00030	0.000878	0.002437078	99.912175	0	8	2
AG-359-G18_a5_gnd00040	AG-359-G18	AG-359-G18_a5_gnd00040	0.001191981	0.003219878	99.880802	1		
AG-359-G18_a5_gnd00040_p0_s5	AG-359-G18	AG-359-G18_a5_gnd00040	0.001192	0.003219878	99.880802	0	0	5
AG-359-G18_a5_gnd00040_p10_s2	AG-359-G18	AG-359-G18_a5_gnd00040	0.001192	0.003219878	99.880802	0	10	2
AG-359-G18_a5_gnd00040_p10_s3	AG-359-G18	AG-359-G18_a5_gnd00040	0.001192	0.003219878	99.880802	0	10	3
AG-359-G18_a5_gnd00040_p13_s1	AG-359-G18	AG-359-G18_a5_gnd00040	0.001192	0.003219878	99.880802	0	13	1
AG-359-G18_a5_gnd00040_p13_s4	AG-359-G18	AG-359-G18_a5_gnd00040	0.001192	0.003219878	99.880802	0	13	4
AG-359-G18_a5_gnd00050	AG-359-G18	AG-359-G18_a5_gnd00050	0.004484209	0.011332259	99.551579	1		
AG-359-G18_a5_gnd00050_p10_s3	AG-359-G18	AG-359-G18_a5_gnd00050	0.004484	0.011332259	99.551579	0	10	3
AG-359-G18_a5_gnd00050_p10_s5	AG-359-G18	AG-359-G18_a5_gnd00050	0.004484	0.011332259	99.551579	0	10	5
AG-359-G18_a5_gnd00050_p11_s4	AG-359-G18	AG-359-G18_a5_gnd00050	0.004484	0.011332259	99.551579	0	11	4
AG-359-G18_a5_gnd00050_p3_s2	AG-359-G18	AG-359-G18_a5_gnd00050	0.004484	0.011332259	99.551579	0	3	2
AG-359-G18_a5_gnd00050_p8_s1	AG-359-G18	AG-359-G18_a5_gnd00050	0.004484	0.011332259	99.551579	0	8	1
AG-359-G18_a5_gnd00060	AG-359-G18	AG-359-G18_a5_gnd00060	0.005370206	0.013591984	99.462979	1		
AG-359-G18_a5_gnd00060_p10_s3	AG-359-G18	AG-359-G18_a5_gnd00060	0.005370	0.013591984	99.462979	0	10	3
AG-359-G18_a5_gnd00060_p17_s4	AG-359-G18	AG-359-G18_a5_gnd00060	0.005370	0.013591984	99.462979	0	17	4
AG-359-G18_a5_gnd00060_p20_s2	AG-359-G18	AG-359-G18_a5_gnd00060	0.005370	0.013591984	99.462979	0	20	2
AG-359-G18_a5_gnd00060_p8_s1	AG-359-G18	AG-359-G18_a5_gnd00060	0.005370	0.013591984	99.462979	0	8	1
AG-359-G18_a5_gnd00060_p8_s5	AG-359-G18	AG-359-G18_a5_gnd00060	0.005370	0.013591984	99.462979	0	8	5
AG-359-G18_a5_gnd00070	AG-359-G18	AG-359-G18_a5_gnd00070	0.006287189	0.015824188	99.371281	1		
